ID,AR [hms],DEC [dms],mu-ra*cos(dec) [mas/yr],mu-dec [mas/yr],plx [mas],radvel [km/s]
HD 190056,20 04 19.593,-32 03 22.667,47.014,-14.643,9.3767,-11.8
* ome Cap,20 51 49.291,-26 55 8.885,-9.016,-2.048,5.8975,9.1
* sig Lib,15 04 4.216,-25 16 55.061,-71.16,-43.34,11.31,-3.9
* ups Lib,15 37 1.45,-28 08 6.293,-12.82,-4.15,14.58,-24.9
* rho Sco,15 56 53.076,-29 12 50.661,-15.68,-24.88,6.91,-0.4
* d Sco,16 18 17.9,-28 36 50.477,-31.19,-100.92,24.22,-13.0
HD 161840,17 49 10.477,-31 42 11.544,5.55,-9.09,5.86,-13.3
* c Sgr,20 02 39.481,-27 42 35.444,32.97,14.0,7.27,9.9
* psi Cap,20 46 5.733,-25 16 15.233,-52.557,-156.935,68.337,27.53
* 42 Lib,15 40 16.897,-23 49 5.101,-16.044,-16.111,8.2082,-21.8
* 2 Sco,15 53 36.719,-25 19 37.709,-15.12,-25.18,6.49,-9.3
* b Sco,15 50 58.744,-25 45 4.659,-14.053,-24.937,6.7811,-3.0
* pi. Sco,15 58 51.113,-26 06 50.789,-11.42,-26.83,5.57,-7.4
HD 143787,16 03 20.623,-25 51 54.873,-67.839,-38.154,14.9532,-37.88
* c02 Sco,16 12 18.205,-27 55 34.953,-12.262,-24.252,6.7848,0.0
* alf Sco,16 29 24.46,-26 25 55.209,-12.11,-23.3,5.89,-3.5
* tau Sco,16 35 52.953,-28 12 57.662,-9.89,-22.83,6.88,2.0
* d Oph,17 27 21.276,-29 52 1.326,17.08,-138.02,29.23,38.0
HD 165634,18 08 4.98,-28 27 25.532,25.43,-31.18,9.62,-4.87
* gam01 Sgr,18 05 1.226,-29 34 48.322,4.372,-4.588,2.365,-28.04
* gam02 Sgr,18 05 48.488,-30 25 26.723,-53.92,-180.9,33.67,22.0
* del Sgr,18 20 59.644,-29 49 41.166,32.54,-25.57,9.38,-20.4
* tau Sgr,19 06 56.403,-27 40 13.496,-53.001,-253.304,28.3195,40.59
* zet Sgr,19 02 36.73,-29 52 48.228,10.79,21.11,36.98,24.7
* ome Sgr,19 55 50.363,-26 17 57.693,209.41,62.39,42.7159,-21.0
* 60 Sgr,19 58 57.202,-26 11 44.745,26.283,27.104,8.7932,-48.6
* b Sgr,19 56 56.832,-27 10 11.641,10.46,-15.52,3.92,-16.2
* iot Lib,15 12 13.29,-19 47 30.159,-35.4,-32.79,8.59,-11.6
* del Sco,16 00 20.005,-22 37 18.143,-10.21,-35.41,6.64,-6.0
* omi Sco,16 20 38.181,-24 10 9.549,-4.32,-14.15,3.71,-8.2
* sig Sco,16 21 11.316,-25 35 34.051,-10.6,-16.28,4.68,-0.4
* rho Oph,16 25 35.118,-23 26 49.815,-5.53,-21.74,9.03,-11.4
* i Sco,16 30 12.475,-25 06 54.804,-4.45,-26.33,7.89,0.0
V* X Sgr,17 47 33.624,-27 49 50.836,-4.948,-10.553,2.8057,-10.1
HD 167818,18 18 3.191,-27 02 33.515,5.28,-3.57,4.28,-16.9
* lam Sgr,18 27 58.241,-25 25 18.115,-44.76,-185.66,41.72,-43.2
* phi Sgr,18 45 39.386,-26 59 26.794,50.61,1.22,13.63,21.5
* sig Sgr,18 55 15.926,-26 17 48.207,15.14,-53.43,14.32,-11.2
* psi Sgr,19 15 32.427,-25 15 24.057,45.5,-31.08,10.93,-11.43
* h02 Sgr,19 36 42.433,-24 53 1.029,68.3,-21.51,17.2,-19.0
* kap Lib,15 41 56.792,-19 40 43.655,-35.256,-111.519,10.7725,-4.5
* ome02 Sco,16 07 24.328,-20 52 7.552,44.81,-45.42,11.22,-4.21
* ome Sco,16 06 48.427,-20 40 9.09,-8.98,-23.48,6.92,-4.4
* ome Oph,16 32 8.2,-21 27 59.012,21.12,35.26,19.34,2.5
* tet Oph,17 22 0.579,-24 59 58.367,-7.37,-23.94,7.48,-2.1
* b Oph,17 26 22.217,-24 10 31.119,0.1,-118.18,39.22,-34.8
* c Oph,17 31 24.954,-23 57 45.514,5.24,-25.72,8.04,-11.4
* 4 Sgr,17 59 47.556,-23 48 58.013,-0.9,-51.149,7.9879,-18.0
* 1 Sgr,18 11 43.333,-23 42 4.434,9.905,-32.048,12.2588,5.71
* nu.01 Sgr,18 54 10.178,-22 44 41.423,3.919,-8.092,1.8387,-11.57
* nu.02 Sgr,18 55 7.137,-22 40 16.622,104.663,-28.501,11.4104,-114.2
* omi Sgr,19 04 40.982,-21 44 29.385,77.445,-58.46,23.8121,26.1
* bet02 Sco,16 05 26.569,-19 48 6.845,-18.472,-15.594,8.2368,-5.6
* bet01 Sco,16 05 26.232,-19 48 19.63,-5.2,-24.04,8.07,-1.0
* nu. Sco,16 11 59.736,-19 27 38.536,-7.65,-23.71,6.88,2.4
* psi Oph,16 24 6.185,-20 02 14.378,-20.29,-47.65,16.35,-1.18
* chi Oph,16 27 1.436,-18 27 22.5,-5.378,-22.308,6.5402,-19.0
* ksi Oph,17 21 0.375,-21 06 46.571,265.543,-202.584,57.082,-8.93
* 58 Oph,17 43 25.794,-21 40 59.499,-97.253,-44.614,58.2437,10.36
* mu. Sgr,18 13 45.809,-21 03 31.794,0.3,-0.48,0.09,-6.0
* 21 Sgr,18 25 21.039,-20 32 30.022,6.108,-26.699,6.7833,-10.75
* ksi02 Sgr,18 57 43.799,-21 06 23.961,31.72,-13.33,8.93,-20.1
* pi. Sgr,19 09 45.833,-21 01 25.01,-1.36,-36.45,6.4,-9.8
* d Sgr,19 17 38.079,-18 57 10.462,-10.417,-10.913,6.7773,15.2
* f Sgr,19 46 21.74,-19 45 40.013,-129.803,-90.543,15.1855,22.27
* gam Lib,15 35 31.579,-14 47 22.328,65.34,7.45,19.99,-26.71
* tet Lib,15 53 49.538,-16 43 45.458,100.33,135.02,19.36,4.56
* phi Oph,16 31 8.367,-16 36 45.831,-45.35,-37.34,13.39,-33.64
* 24 Sco,16 41 34.384,-17 44 31.8,-21.145,-1.572,8.4818,-25.2
* rho01 Sgr,19 21 40.359,-17 50 49.917,-25.87,21.46,25.69,1.2
* ups Sgr,19 21 43.623,-15 57 18.063,0.778,-5.855,2.0869,8.9
* g Sgr,19 57 57.029,-15 29 29.285,17.267,-110.707,15.4752,1.0
* bet01 Cap,20 21 0.667,-14 46 53.067,44.133,0.36,8.3966,-19.0
* 48 Lib,15 58 11.368,-14 16 45.681,-13.843,-16.271,7.154,-7.5
* eta Oph,17 10 22.687,-15 43 29.664,40.13,99.17,36.91,-2.4
* ksi Ser,17 37 35.2,-15 23 54.794,-42.1,-59.94,30.98,-42.8
* gam Sct,18 29 11.854,-14 33 56.932,3.22,-4.02,10.21,-41.0
* alf01 Cap,20 17 38.869,-12 30 29.564,21.709,1.643,4.0157,-25.79
* alf02 Cap,20 18 3.256,-12 32 41.468,62.63,2.66,30.82,0.7
* nu. Cap,20 20 39.816,-12 45 32.684,14.74,-14.32,12.88,-1.0
* del Lib,15 00 58.348,-08 31 8.21,-63.051,-6.024,9.2824,-38.7
* bet Lib,15 17 0.414,-09 22 58.492,-98.1,-19.65,17.62,-35.6
* eps Lib,15 24 11.884,-10 19 20.204,-66.816,-152.296,34.6222,-9.8
* 37 Lib,15 34 10.702,-10 03 52.318,307.347,-234.595,34.3608,48.892
* ksi Sco B,16 04 22.129,-11 22 22.672,-43.269,-18.584,36.117,-29.4
* psi Sco,16 11 59.993,-10 03 50.91,-1.483,-31.351,22.6379,-5.1
* zet Oph,16 37 9.539,-10 34 1.529,15.26,24.79,8.91,-9.0
* 20 Oph,16 49 50.018,-10 46 59.035,104.147,-84.201,21.4451,1.56
* nu. Ser,17 20 49.661,-12 50 48.753,43.4,2.61,16.05,4.8
* omi Ser,17 41 24.873,-12 52 31.109,-72.9,-55.55,18.83,-30.2
* eps Aqr,20 47 40.553,-09 29 44.788,33.98,-34.77,15.7,-15.3
* mu. Aqr,20 52 39.233,-08 58 59.95,45.75,-33.59,20.74,-9.1
* ups Oph,16 27 48.187,-08 22 18.224,-67.49,-11.75,24.42,-30.6
* nu. Oph,17 59 1.592,-09 46 25.08,-9.48,-116.69,21.64,13.19
* zet Sct,18 23 39.579,-08 56 4.152,48.894,54.53,17.8678,-5.02
* del Sct,18 42 16.427,-09 03 9.189,7.3,1.212,16.1899,-45.1
* mu. Oph,17 37 50.713,-08 07 7.575,-11.31,-20.47,4.32,-18.5
* tau Oph,18 03 4.92,-08 10 49.259,15.78,-37.79,19.48,-38.39
* alf Sct,18 35 12.427,-08 14 38.654,-18.006,-313.989,17.6952,36.5
* eps Sct,18 43 31.251,-08 16 30.766,21.781,4.591,5.71,-9.8
* eta Sct,18 57 3.67,-05 50 46.734,61.567,-41.232,15.3925,-92.22
* i Aql,19 01 40.827,-05 44 20.813,-24.41,-39.66,22.66,-43.92
* f Aql,19 20 32.906,-05 24 56.765,112.516,46.738,22.688,-18.0
* kap Aql,19 36 53.45,-07 01 38.918,1.63,-2.65,1.94,-19.4
* k Aqr,20 47 44.239,-05 01 39.722,1.68,-40.06,5.57,-22.0
* mu. Ser,15 49 37.207,-03 25 48.736,-100.28,-25.99,19.23,-9.4
* del Oph,16 14 20.739,-03 41 39.561,-47.54,-142.73,19.06,-19.27
* eps Oph,16 18 19.29,-04 41 33.034,83.4,40.58,30.64,-9.342
* 30 Oph,17 01 3.602,-04 13 21.518,-40.37,-78.455,8.9274,-8.26
M 10,16 57 9.05,-04 06 1.1,-4.72,-6.54,0.196,74.0
* 47 Oph,17 26 37.881,-05 05 11.75,-92.5,-43.29,33.25,0.4
* zet Ser,18 00 29.01,-03 41 24.978,154.66,-45.909,43.4823,-50.7
* eta Ser,18 21 18.601,-02 53 55.777,-547.75,-701.42,53.93,9.38
* bet Sct,18 47 10.474,-04 44 52.343,-7.972,-16.398,4.8549,-21.3
* lam Aql,19 06 14.939,-04 52 57.226,-19.12,-89.427,25.6409,-8.8
* 69 Aql,20 29 39.0,-02 53 7.901,70.287,-22.559,16.8797,-22.51
* 70 Aql,20 36 43.633,-02 32 59.837,10.862,-15.416,4.0825,-9.27
* iot Aql,19 36 43.278,-01 17 11.759,-1.426,-21.644,5.6673,-21.4
* tet Aql,20 11 18.285,-00 49 17.263,35.26,5.71,11.39,-28.02
* l Aql,20 38 20.284,-01 06 18.422,18.766,-19.647,11.43,-5.6
* lam Oph,16 30 54.823,+01 59 2.121,-30.98,-73.42,18.84,-16.0
* gam Oph,17 47 53.56,+02 42 26.2,-24.64,-74.42,31.73,-7.6
* 68 Oph,18 01 45.199,+01 18 18.278,15.93,-13.29,11.15,6.0
* 70 Oph,18 05 27.285,+02 30 0.356,124.16,-962.82,196.72,-5.8
* nu. Aql,19 26 31.089,+00 20 18.855,-0.562,-2.294,0.8752,-2.3
* eta Aql,19 52 28.369,+01 00 20.372,8.89,-8.322,3.6715,-25.1
* 110 Vir,15 02 54.038,+02 05 28.696,-55.569,13.628,16.7474,-15.92
* eps Ser,15 50 48.966,+04 28 39.831,128.19,62.16,46.3,-9.4
* sig Oph,17 26 30.881,+04 08 25.294,1.459,6.76,3.7578,-27.259
* bet Oph,17 43 28.353,+04 34 2.295,-41.45,159.34,39.85,-12.12
Cl Melotte 186,18 02 23.5,+03 15 36.0,0.637,-8.668,1.786,3.62
* 66 Oph,18 00 15.798,+04 22 7.016,1.23,-12.73,5.01,-12.8
* 67 Oph,18 00 38.716,+02 55 53.633,0.935,-8.772,1.3731,-5.2
* 74 Oph,18 20 52.064,+03 22 37.791,-6.994,11.952,13.4418,4.35
* tet02 Ser,18 56 14.641,+04 12 7.659,50.044,28.363,24.531,-55.0
* tet01 Ser,18 56 13.187,+04 12 12.982,46.474,31.313,24.2696,-48.7
* del Aql,19 25 29.901,+03 06 53.206,254.54,82.51,64.41,-34.0
* alf Ser,15 44 16.074,+06 25 32.263,133.84,44.81,44.1,2.63
* mu. Aql,19 34 5.353,+07 22 44.184,213.28,-156.953,29.4091,-24.472
* bet Aql,19 55 18.793,+06 24 24.351,45.944,-480.965,73.5249,-40.066
* lam Ser,15 46 26.614,+07 21 11.047,-223.952,-69.763,83.9214,-66.395
* iot Oph,16 54 0.472,+10 09 55.298,-53.8,-34.04,13.3,-19.0
* kap Oph,16 57 40.098,+09 22 30.113,-292.13,-10.38,35.66,-55.821
* 72 Oph,18 07 20.984,+09 33 49.85,-62.17,79.66,37.55,-23.9
* 71 Oph,18 07 18.359,+08 44 1.922,9.318,29.522,12.6023,-3.0
* alf Aql,19 50 46.999,+08 52 5.956,536.23,385.29,194.95,-26.6
* ksi Aql,19 54 14.882,+08 27 41.235,101.694,-81.141,17.5183,-41.66
* h Her,16 32 36.292,+11 29 16.948,-178.84,-79.27,9.29,2.92
* 60 Her,17 05 22.69,+12 44 26.975,49.982,-11.622,23.6844,-4.2
* alf Oph,17 34 56.069,+12 33 36.135,108.07,-221.57,67.13,11.7
* gam Aql,19 46 15.58,+10 36 47.741,16.99,-2.98,8.26,-2.693
* ome Her,16 25 24.955,+14 01 59.762,38.682,-59.551,13.1034,-5.9
* 32 Oph,17 03 7.871,+14 05 31.014,25.226,-62.651,8.0197,43.15
* alf Her,17 14 38.858,+14 23 25.226,-7.32,36.07,9.07,-32.09
* 93 Her,18 00 3.417,+16 45 3.305,-7.269,-10.923,4.3043,-24.47
* eps Aql,18 59 37.356,+15 04 5.812,-51.062,-69.439,18.1821,-45.9
* zet Aql,19 05 24.608,+13 51 48.518,-7.25,-95.56,39.28,-25.0
* eps Del,20 33 12.772,+11 18 11.741,11.96,-28.97,9.87,-19.4
* bet Ser,15 46 11.254,+15 25 18.596,65.38,-38.61,21.03,0.6
* gam Ser,15 56 27.183,+15 39 41.82,310.93,-1282.19,88.86,6.523
* kap Her A,16 08 4.526,+17 02 49.119,-34.067,-6.7,8.2812,-10.5
* 111 Her,18 47 1.234,+18 10 53.458,98.835,115.12,34.9987,-44.6
* bet Sge,19 41 2.939,+17 28 33.753,8.18,-33.113,7.3764,-21.76
* rho Aql,20 14 16.619,+15 11 51.386,55.446,57.339,20.9054,-23.0
* zet Del,20 35 18.536,+14 40 27.168,45.52,11.74,14.82,-25.0
* bet Del,20 37 32.941,+14 35 42.32,118.09,-48.06,32.33,-32.57
* del Del,20 43 27.533,+15 04 28.477,-20.44,-43.33,14.61,9.3
* kap Ser,15 48 44.377,+18 08 29.634,-51.88,-88.1,8.54,-38.48
* gam Her,16 21 55.214,+19 09 11.262,-47.39,43.81,16.93,-35.3
* 102 Her,18 08 45.491,+20 48 52.408,-1.92,-5.89,3.56,-14.9
* 106 Her,18 20 17.915,+21 57 40.667,17.962,-59.923,8.3436,-35.2
* 109 Her,18 23 41.89,+21 46 11.11,195.971,-243.234,26.9636,-58.16
* 110 Her,18 45 39.726,+20 32 46.713,-9.086,-335.655,51.6743,22.772
* alf Sge,19 40 5.791,+18 00 50.007,15.076,-20.287,7.6353,1.667
* del Sge,19 47 23.266,+18 32 3.529,7.277,0.318,5.9674,2.5
* gam Sge,19 58 45.429,+19 29 31.728,66.21,22.22,12.62,-34.0
* alf Del,20 39 38.287,+15 54 43.464,53.82,8.47,12.85,-3.4
* gam01 Del,20 46 38.861,+16 07 26.862,-11.702,-203.994,27.8884,-6.97
* gam02 Del,20 46 39.5,+16 07 27.458,-30.476,-197.504,28.1359,-6.17
* iot Ser,15 41 33.055,+19 40 13.438,-60.86,-43.69,17.16,-17.2
* rho Ser,15 51 15.909,+20 58 40.514,-53.507,17.999,8.0776,-61.96
* bet Her,16 30 13.2,+21 29 22.601,-99.15,-15.39,23.44,-25.91
* del Her,17 15 1.911,+24 50 21.145,-21.18,-156.48,43.41,-40.0
* 113 Her,18 54 44.885,+22 38 42.271,6.571,1.305,7.5501,-23.8
* 1 Vul,19 16 13.039,+21 23 25.545,-0.383,-5.809,4.2065,-17.0
* 12 Vul,19 51 4.108,+22 36 36.173,23.404,-15.797,5.171,-24.9
* pi. Ser,16 02 17.691,+22 48 16.029,4.5,23.359,18.695,-28.2
* lam Her,17 30 44.31,+26 06 38.324,18.782,16.184,8.2943,-26.51
* mu.01 Her,17 46 27.547,+27 43 14.561,-312.087,-773.179,119.9248,-17.78
HD 173780,18 46 4.479,+26 39 43.664,17.445,23.833,13.386,-16.92
* alf Vul,19 28 42.33,+24 39 53.652,-126.13,-107.44,10.97,-85.391
* 13 Vul,19 53 27.696,+24 04 46.608,22.325,36.51,9.6342,-28.1
* 29 Vul,20 38 31.339,+21 12 4.185,69.968,7.444,18.2449,-17.1
* del CrB,15 49 35.647,+26 04 6.214,-78.907,-64.894,19.4965,-20.36
* eps CrB,15 57 35.251,+26 52 40.367,-77.716,-60.971,13.4922,-32.42
* nu. Her,17 58 30.149,+30 11 21.387,-0.81,2.18,3.79,-24.302
* ksi Her,17 57 45.886,+29 14 52.368,82.44,-18.73,23.84,-1.756
* omi Her,18 07 32.551,+28 45 44.968,-0.02,8.55,9.65,-29.5
* bet01 Cyg,19 30 43.281,+27 57 34.848,-7.17,-6.15,7.51,-24.07
HD 192685,20 15 15.896,+25 35 31.063,7.086,-5.432,5.6918,-7.0
* ome Boo,15 02 6.509,+25 00 29.3,-5.335,-49.18,8.5271,12.76
* c Boo,15 07 18.066,+24 52 9.099,184.714,-164.279,51.1875,-11.2
* alf CrB,15 34 41.268,+26 42 52.894,120.27,-89.58,43.46,1.7
* iot CrB,16 01 26.565,+29 51 3.819,-37.817,-7.016,8.7701,-20.8
* ksi CrB,16 22 5.824,+30 53 31.185,-97.373,107.313,17.192,-29.07
* zet Her,16 41 17.161,+31 36 9.787,-461.52,342.28,93.32,-67.8
* eps Her,17 00 17.374,+30 55 35.056,-47.69,26.9,21.04,-25.1
* u Her,17 17 19.568,+33 06 0.368,-4.298,-5.621,3.4356,-21.0
* 104 Her,18 11 54.157,+31 24 19.256,-15.295,24.487,6.2518,-1.19
* gam Lyr,18 58 56.622,+32 41 22.4,-3.09,1.11,5.26,-20.2
* lam Lyr,19 00 0.826,+32 08 43.848,6.232,9.4,2.6269,-17.355
* 2 Cyg,19 24 7.578,+29 37 16.808,12.235,11.229,3.6239,-23.6
* phi Cyg,19 39 22.606,+30 09 11.957,1.52,35.883,12.7786,4.5
* 15 Vul,20 01 6.048,+27 45 12.864,58.17,3.84,13.8,-26.1
* 23 Vul,20 15 46.143,+27 48 51.116,-39.938,12.121,9.9642,-2.18
* 30 Vul,20 44 52.513,+25 16 14.268,-38.328,-185.535,8.6255,30.0
* psi Boo,15 04 26.743,+26 56 51.534,-174.718,-5.036,12.6144,-25.84
* bet CrB,15 27 49.732,+29 06 20.522,-180.17,85.92,29.17,-26.9
* kap Lyr,18 19 51.709,+36 03 52.369,-16.75,41.09,12.96,-24.36
* bet Lyr,18 50 4.795,+33 21 45.61,1.9,-3.53,3.39,2.2
* chi Cyg,19 50 33.921,+32 54 50.576,-24.085,-41.239,6.2686,1.6
* 41 Cyg,20 29 23.736,+30 22 6.797,6.89,-0.87,4.24,-18.21
* 31 Vul,20 52 7.69,+27 05 48.999,-76.611,-56.516,14.7064,0.47
* eta CrB,15 23 12.305,+30 17 16.17,116.83,-171.37,55.98,-7.26
* tet CrB,15 32 55.782,+31 21 32.876,-20.15,-9.39,8.69,-25.7
* pi. Her,17 15 2.834,+36 48 32.984,-27.29,2.82,8.66,-25.57
* e Her,17 17 40.253,+37 17 29.423,-38.796,58.493,18.6546,-9.9
* rho Her A,17 23 40.935,+37 08 45.326,-39.617,3.554,9.9491,-21.0
* tet Her,17 56 15.181,+37 15 1.934,2.67,6.47,4.33,-28.32
* zet01 Lyr,18 44 46.357,+37 36 18.417,29.04,27.03,20.89,-24.9
* alf Lyr,18 36 56.336,+38 47 1.28,200.94,286.23,130.23,-20.6
NAME del Lyr Cluster,18 54 16.3,+36 53 56.0,1.11,-3.01,2.779,-18.69
* del02 Lyr,18 54 30.283,+36 53 55.013,-7.36,4.06,4.43,-25.55
* 8 Cyg,19 31 46.322,+34 27 10.687,1.16,-3.47,3.79,-21.2
* eta Cyg,19 56 18.372,+35 05 0.323,-33.61,-27.87,24.17,-25.87
* 39 Cyg,20 23 51.621,+32 11 24.619,35.84,-5.83,13.05,-17.18
* 52 Cyg,20 45 39.753,+30 43 10.976,-8.98,24.11,16.22,-0.58
* del Boo,15 15 30.163,+33 18 53.393,84.74,-111.58,26.78,-12.29
* kap CrB,15 51 13.931,+35 39 26.574,-8.669,-348.35,33.3433,-24.996
* tau CrB,16 08 58.309,+36 29 27.134,-59.431,332.28,29.0217,-20.3
* eta Her,16 42 53.765,+38 55 20.113,35.41,-85.3,30.02,8.325
* eps01 Lyr A,18 44 20.344,+39 40 12.465,13.9,62.391,20.6911,-31.0
* eps01 Lyr,18 44 20.346,+39 40 12.453,11.09,61.39,20.09,-31.2
* eta Lyr,19 13 45.488,+39 08 45.48,-0.6,-1.26,2.35,-8.1
* tet Lyr,19 16 22.095,+38 08 1.423,-0.8,0.36,3.92,-27.42
* 15 Cyg,19 44 16.605,+37 21 15.682,72.665,35.379,11.0494,-23.75
* b03 Cyg,20 14 32.032,+36 48 22.701,68.09,69.404,24.5456,-17.3
* b02 Cyg,20 09 25.619,+36 50 22.634,2.739,13.168,3.8921,-13.6
* 47 Cyg,20 33 54.188,+35 15 3.039,-3.612,-4.166,0.8792,-4.63
* eps Cyg,20 46 12.682,+33 58 12.925,355.66,330.6,44.86,-12.599
* 7 CrB A,15 39 22.673,+36 38 8.92,-15.51,-7.465,6.4259,0.0
* sig Her,16 34 6.182,+42 26 13.234,-15.384,44.26,10.856,-10.9
HD 166208,18 07 28.744,+43 27 42.803,-11.831,-56.944,9.2782,-14.72
* 13 Lyr,18 55 20.102,+43 56 45.931,21.05,82.06,10.94,-27.15
* 22 Cyg,19 55 51.761,+38 29 12.189,3.676,-2.695,2.5612,-30.1
* P Cyg,20 17 47.202,+38 01 58.553,-3.18,-6.45,0.32,-8.9
* lam Cyg,20 47 24.538,+36 29 26.574,14.71,-8.96,4.24,-23.2
V* T Cyg,20 47 10.752,+34 22 26.841,39.64,7.826,7.7834,-23.97
* h02 Pup,08 14 2.929,-40 20 52.322,38.196,-70.153,10.489,13.5
* sig Pup,07 29 13.83,-43 18 5.16,-59.55,188.31,16.84,87.3
* L01 Pup,07 13 13.351,-45 10 57.855,-25.166,-87.38,17.3622,4.3
* del Hor,04 10 50.589,-41 59 36.854,199.08,70.18,18.24,38.3
* alf Hor,04 14 0.114,-42 17 39.727,41.992,-203.157,27.721,21.749
* y Eri,03 37 5.678,-40 16 28.777,-12.532,-9.929,13.2285,11.5
* l Vel,09 15 36.708,-38 34 11.795,-71.038,-10.227,14.1358,1.62
* k Vel,09 15 45.08,-37 24 47.318,13.859,-7.738,20.2065,12.41
* e Vel,08 37 38.633,-42 59 20.689,-10.75,9.66,1.79,19.3
HD 68601,08 11 25.892,-42 59 14.199,-6.37,4.64,0.78,19.2
* Q Pup,07 48 20.16,-47 04 39.799,-101.85,-78.08,14.04,-0.02
* P Pup,07 49 14.295,-46 22 23.542,-4.37,8.66,1.98,24.0
* I Pup,07 12 33.625,-46 45 33.497,-135.806,107.433,46.9031,0.2
HD 56456,07 14 38.141,-48 16 18.942,-4.4,0.01,8.66,39.0
HD 51799,06 56 15.99,-48 43 16.126,1.01,7.57,3.79,22.1
* w Vel,09 00 5.409,-41 15 12.979,-40.08,54.59,15.5,-6.5
* d Vel,08 44 23.947,-42 38 57.399,-23.778,19.524,14.0387,-1.84
* gam01 Vel,08 09 29.318,-47 20 43.013,-6.243,9.475,2.6052,20.0
* gam02 Vel,08 09 31.95,-47 20 11.711,-6.07,10.43,2.92,15.0
V* V Pup,07 58 14.439,-49 14 41.68,-5.34,7.12,3.4,19.4
* J Pup,07 53 18.158,-48 06 10.564,-5.6,5.76,1.97,41.0
HD 64740,07 53 3.635,-49 36 46.953,-7.77,15.16,4.3,8.0
* H Pup,07 03 53.602,-49 35 2.179,-56.878,149.108,16.2073,26.8
* tau Pup,06 49 56.168,-50 36 52.444,34.36,-69.11,17.92,34.4
* N Car,06 34 58.58,-52 58 32.192,-7.65,10.54,2.39,22.5
* alf Car,06 23 57.11,-52 41 44.381,19.93,23.24,10.55,20.3
* bet Pic,05 47 17.088,-51 03 59.441,4.65,83.1,51.44,20.0
* e Eri,03 19 55.651,-43 04 11.215,3035.017,726.964,165.5242,87.882
* iot Eri,02 40 40.035,-39 51 19.354,135.92,-27.53,21.65,-9.3
* psi Vel,09 30 42.0,-40 28 0.262,-147.98,61.35,53.15,8.8
* lam Vel,09 07 59.758,-43 25 57.327,-24.01,13.52,5.99,17.6
* g Vel,08 49 47.638,-45 18 28.346,-12.052,14.247,2.5925,5.0
* a Vel,08 46 1.644,-46 02 29.504,-12.82,4.23,1.76,23.2
* b Vel,08 40 37.57,-46 38 55.477,-6.05,4.66,0.67,25.3
IC 2395,08 42 31.0,-48 06 0.0,-4.464,3.293,1.379,17.66
* n Vel,08 41 13.129,-47 19 1.67,-7.808,10.611,1.4107,17.4
* B Vel,08 22 31.694,-48 29 25.363,-5.1,7.76,1.9,27.0
* Q Car,07 35 39.722,-52 32 1.809,22.335,-11.593,7.8078,62.0
V* V415 Car,06 49 51.314,-53 37 20.818,-1.99,17.58,5.99,26.0
* del Pic,06 10 17.908,-54 58 7.113,-4.9,7.41,2.51,30.6
* gam Pic,05 49 49.662,-56 09 59.981,81.13,-71.12,18.45,17.5
* gam Dor,04 16 1.587,-51 29 11.933,100.502,184.18,48.9494,25.2
* s Eri,02 39 47.975,-42 53 30.519,118.8,-1.521,22.5636,18.0
* c Vel,09 04 9.28,-47 05 51.855,-47.45,-9.75,10.89,24.3
* chi Car,07 56 46.72,-52 58 56.444,-31.368,23.452,5.6857,19.4
* zet Dor,05 05 30.656,-57 28 21.737,-31.903,117.94,85.5233,-1.15
* alf Dor,04 33 59.777,-55 02 41.924,57.75,10.93,19.34,25.6
* omi Vel,08 40 17.586,-52 55 18.8,-24.42,34.44,6.61,17.3
V* HY Vel,08 42 25.387,-53 06 50.343,-24.545,23.532,6.6507,15.6
* H Vel,08 56 19.263,-52 43 24.507,-16.284,14.567,8.2981,22.2
V* R Hor,02 53 52.77,-49 53 22.731,128.567,35.766,4.3236,60.0
* kap Eri,02 26 59.122,-47 42 13.825,19.32,-5.54,6.42,25.5
* q Vel,10 14 44.156,-42 07 18.993,-150.09,49.44,32.18,7.4
* m Vel,09 51 40.668,-46 32 51.44,-25.119,10.305,3.6857,10.8
* M Vel,09 36 49.54,-49 21 18.088,-130.55,42.98,30.94,17.8
* f Car,08 46 42.549,-56 46 11.192,-9.29,8.85,5.39,27.0
* del Vel,08 44 42.227,-54 42 31.749,28.99,-103.35,40.49,2.2
* e02 Car,08 35 19.705,-58 00 33.253,54.775,27.012,14.9091,25.62
* eps Car,08 22 30.835,-59 30 34.143,-25.52,22.06,5.39,11.6
* alf Pic,06 48 11.455,-61 56 29.001,-66.07,242.97,33.78,15.3
* 36 Dor,05 54 6.055,-63 05 23.209,148.129,550.143,36.5981,26.33
* bet Dor,05 33 37.516,-62 29 23.376,-0.611,12.95,2.9308,7.2
* iot Ret,04 01 18.151,-61 04 43.763,66.672,94.675,9.9842,60.98
* eps Ret,04 16 29.028,-59 18 7.756,-47.785,-167.806,54.2286,29.03
* kap Vel,09 22 6.818,-55 00 38.402,-11.4,11.52,5.7,21.9
* g Car,09 16 12.073,-57 32 29.301,-27.15,-14.18,6.68,-5.2
* b01 Car,08 56 58.417,-59 13 45.615,-8.651,9.224,5.1705,26.8
* d Car,08 40 37.028,-59 45 39.607,-6.63,5.32,2.26,12.9
* B Car,08 09 0.637,-61 18 8.546,-145.711,-301.18,36.2472,23.12
* D01 Car,08 00 19.967,-63 34 2.842,-1.89,19.21,6.53,22.1
